onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02190790_15121	5	5	n01443537_22563	1	1	41	34.183077
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02882301_14188	7	7	n01621127_19020	2	2	62	42.142649
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n01443537_22563	1	1	n03716966_28524	9	9	9	49.634623
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n03716966_28524	9	9	n02128385_20264	3	3	83	66.133599
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n02139199_10398	4	4	n03710193_22225	8	8	38	82.130661
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n02190790_15121	5	5	n02139199_10398	4	4	44	90.311882
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n04252077_10859	10	10	n01621127_19020	2	2	92	98.063089
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01621127_19020	2	2	n02139199_10398	4	4	14	106.161338
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	114.129816
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n03710193_22225	8	8	n02690373_7713	6	6	76	122.178618
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02128385_20264	3	3	n01621127_19020	2	2	22	130.159161
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n04252077_10859	10	10	n02190790_15121	5	5	95	138.125997
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n02139199_10398	4	4	n02690373_7713	6	6	36	146.310722
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n03710193_22225	8	8	n03716966_28524	9	9	79	154.143722
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02190790_15121	5	5	n02128385_20264	3	3	43	162.115007
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02690373_7713	6	6	n02128385_20264	3	3	53	170.199359
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n01443537_22563	1	1	n04252077_10859	10	10	10	178.133509
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	186.191058
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n03710193_22225	8	8	n01443537_22563	1	1	71	194.175188
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n01621127_19020	2	2	n02690373_7713	6	6	16	202.220658
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n03716966_28524	9	9	n02190790_15121	5	5	85	210.174442
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	218.173625
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n04252077_10859	10	10	n02882301_14188	7	7	97	226.126074
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n01443537_22563	1	1	n02882301_14188	7	7	7	241.408302
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n03716966_28524	9	9	n02139199_10398	4	4	84	250.188794
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n02690373_7713	6	6	n02882301_14188	7	7	57	257.855999
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n01621127_19020	2	2	n01443537_22563	1	1	11	265.487503
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n01443537_22563	1	1	n02128385_20264	3	3	3	274.217684
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
