onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	50.294774
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02690373_7713	6	6	n02882301_14188	7	7	57	57.689645
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n02882301_14188	7	7	n02139199_10398	4	4	64	65.774896
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n03716966_28524	9	9	n02139199_10398	4	4	84	73.542091
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n02128385_20264	3	3	n03710193_22225	8	8	28	81.793278
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	90.259239
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n03716966_28524	9	9	n02882301_14188	7	7	87	97.707997
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n02882301_14188	7	7	n02128385_20264	3	3	63	105.543129
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n02128385_20264	3	3	n04252077_10859	10	10	30	121.575442
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02190790_15121	5	5	n04252077_10859	10	10	50	130.057477
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	137.853290
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n03710193_22225	8	8	n04252077_10859	10	10	80	172.076276
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n02190790_15121	5	5	n02690373_7713	6	6	46	185.205516
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02690373_7713	6	6	n03716966_28524	9	9	59	194.603671
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n02690373_7713	6	6	n02139199_10398	4	4	54	201.530483
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n02128385_20264	3	3	n03716966_28524	9	9	29	209.520471
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	217.554664
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n04252077_10859	10	10	n03716966_28524	9	9	99	226.452262
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02690373_7713	6	6	n04252077_10859	10	10	60	233.904641
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n02190790_15121	5	5	n02882301_14188	7	7	47	241.700981
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n02190790_15121	5	5	n01621127_19020	2	2	42	249.969721
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n03710193_22225	8	8	n02190790_15121	5	5	75	257.618037
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02190790_15121	5	5	n01443537_22563	1	1	41	265.169663
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02139199_10398	4	4	n02128385_20264	3	3	33	273.343716
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
