onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02128385_20264	3	3	n04252077_10859	10	10	30	34.216425
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02128385_20264	3	3	n01443537_22563	1	1	21	41.518592
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n03716966_28524	9	9	n02690373_7713	6	6	86	49.384380
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02128385_20264	3	3	n02882301_14188	7	7	27	57.719015
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	65.565657
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02690373_7713	6	6	n02128385_20264	3	3	53	73.882252
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02690373_7713	6	6	n03710193_22225	8	8	58	81.965121
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n02882301_14188	7	7	n01443537_22563	1	1	61	97.816277
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01443537_22563	1	1	n02190790_15121	5	5	5	105.283683
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01443537_22563	1	1	n03710193_22225	8	8	8	113.981284
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n02190790_15121	5	5	n02882301_14188	7	7	47	137.662117
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n02190790_15121	5	5	n02128385_20264	3	3	43	145.915344
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n04252077_10859	10	10	n02882301_14188	7	7	97	153.779241
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	162.428191
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	169.974089
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n01443537_22563	1	1	n01443537_22563	1	1	1	0.000000
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	185.812943
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n03716966_28524	9	9	n01621127_19020	2	2	82	193.911571
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n02882301_14188	7	7	n03716966_28524	9	9	69	201.960757
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n03710193_22225	8	8	n02139199_10398	4	4	74	217.811757
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n03710193_22225	8	8	n02190790_15121	5	5	75	225.990729
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n02882301_14188	7	7	n03710193_22225	8	8	68	241.591515
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n01621127_19020	2	2	n02882301_14188	7	7	17	249.941870
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n03716966_28524	9	9	n03710193_22225	8	8	88	257.872391
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n01443537_22563	1	1	n04252077_10859	10	10	10	265.959879
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n01621127_19020	2	2	n03710193_22225	8	8	18	273.873616
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
