onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02128385_20264	3	3	n02882301_14188	7	7	27	34.145558
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n02128385_20264	3	3	n04252077_10859	10	10	30	41.860571
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	48.994028
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	57.811289
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	66.043143
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	74.711110
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n03716966_28524	9	9	n04252077_10859	10	10	90	81.173531
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01443537_22563	1	1	n03716966_28524	9	9	9	89.908432
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	1	n02690373_7713	6	6	n04252077_10859	10	10	60	105.774308
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	113.437975
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	121.958071
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n03710193_22225	8	8	n02690373_7713	6	6	76	138.128370
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n04252077_10859	10	10	n02190790_15121	5	5	95	145.886943
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02128385_20264	3	3	n03716966_28524	9	9	29	162.253267
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n01621127_19020	2	2	n01443537_22563	1	1	11	170.354802
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n03710193_22225	8	8	n04252077_10859	10	10	80	178.437287
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n01443537_22563	1	1	n02190790_15121	5	5	5	194.701708
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n03710193_22225	8	8	n03716966_28524	9	9	79	202.368269
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n03716966_28524	9	9	n02690373_7713	6	6	86	217.901189
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n02190790_15121	5	5	n02128385_20264	3	3	43	226.352454
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02690373_7713	6	6	n02139199_10398	4	4	54	233.883316
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n02882301_14188	7	7	n01443537_22563	1	1	61	242.116619
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n01621127_19020	2	2	n03716966_28524	9	9	19	250.051179
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n03716966_28524	9	9	n02190790_15121	5	5	85	257.815308
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02128385_20264	3	3	n01621127_19020	2	2	22	266.100281
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n03710193_22225	8	8	n01621127_19020	2	2	72	273.666902
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
