onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n04497801_3101	138	1100	0.000000
40	8	1	n03886762_14788	100	796	0.000000
48	8	1	n02346627_17176	29	228	0.000000
56	8	2	n02346627_17176	29	228	57.024547
64	8	1	n03445777_9159	72	575	0.000000
72	8	1	n04477387_7671	136	1087	0.000000
80	8	1	n03790512_13675	95	755	0.000000
88	8	1	n04419073_21368	133	1062	0.000000
96	8	1	n04113406_28754	110	879	0.000000
104	8	1	n03646296_9175	88	704	0.000000
112	8	1	n02503517_7340	38	302	0.000000
120	8	1	n02998003_3934	54	427	0.000000
128	8	1	n03623556_6577	86	686	0.000000
136	8	1	n03467796_5051	73	580	0.000000
144	8	1	n02084071_21054	22	171	0.000000
152	8	1	n03255030_3029	62	492	0.000000
160	8	2	n03255030_3029	62	492	161.035636
168	8	1	n03649909_21526	89	710	0.000000
176	8	2	n03649909_21526	89	710	177.033622
184	8	1	n03642806_6122	87	696	0.000000
192	8	1	n03483823_6332	75	596	0.000000
200	8	1	n03982430_15760	104	825	0.000000
208	8	1	n04272054_48893	121	965	0.000000
216	8	2	n04272054_48893	121	965	217.033172
224	8	1	n07758680_12418	146	1162	0.000000
232	8	1	n04482393_19492	137	1093	0.000000
240	8	1	n03261776_29363	63	502	0.000000
248	8	1	n03436182_7185	71	567	0.000000
256	8	1	n04225987_12703	117	929	0.000000
264	8	1	n04254680_1190	119	947	0.000000
272	8	1	n03721384_5136	91	727	0.000000
280	8	2	n03721384_5136	91	727	281.029262
288	8	1	n03665924_37592	90	715	0.000000
296	8	1	n03792782_13140	96	761	0.000000
304	8	1	n04442312_19042	134	1070	0.000000
312	8	1	n02090827_9305	23	183	0.000000
320	8	1	n04086273_28013	108	861	0.000000
328	8	1	n03607659_5173	83	660	0.000000
336	8	1	n04409515_3798	130	1037	0.000000
344	8	1	n03609235_7270	84	671	0.000000
352	8	1	n03345487_8958	65	520	0.000000
360	8	1	n02233338_17205	26	203	0.000000
368	8	1	n03472535_21289	74	588	0.000000
376	8	1	n03743279_7634	92	735	0.000000
384	8	1	n01963571_28170	16	126	0.000000
392	8	1	n03397947_6288	68	541	0.000000
400	8	1	n04180888_3216	115	916	0.000000
408	8	1	n07734744_18574	144	1146	0.000000
416	8	1	n04154565_35063	113	904	0.000000
424	8	1	n04612026_10008	142	1129	0.000000
432	8	1	n02236241_7166	27	215	0.000000
440	8	1	n03359137_44522	66	528	0.000000
448	8	1	n04376876_14622	127	1013	0.000000
456	8	1	n02769748_32217	42	332	0.000000
464	8	1	n04255586_1521	120	953	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
