onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n02128385_20264	3	3	n03710193_22225	8	8	28	33.094305
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n01443537_22563	1	1	n01621127_19020	2	2	2	41.942771
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n02190790_15121	5	5	n03710193_22225	8	8	48	49.766459
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	57.581367
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n03710193_22225	8	8	n03716966_28524	9	9	79	65.561360
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n02139199_10398	4	4	n03710193_22225	8	8	38	73.045397
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n04252077_10859	10	10	n01621127_19020	2	2	92	89.548066
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n03716966_28524	9	9	n02882301_14188	7	7	87	97.032368
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	105.523005
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02190790_15121	5	5	n04252077_10859	10	10	50	113.707131
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02882301_14188	7	7	n01621127_19020	2	2	62	121.805150
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	129.140829
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n03716966_28524	9	9	n01621127_19020	2	2	82	137.675171
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n02690373_7713	6	6	n02882301_14188	7	7	57	145.559244
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02190790_15121	5	5	n02139199_10398	4	4	44	153.688572
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02190790_15121	5	5	n03716966_28524	9	9	49	161.570384
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n01621127_19020	2	2	n02690373_7713	6	6	16	170.903803
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n01621127_19020	2	2	n02190790_15121	5	5	15	177.656961
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02128385_20264	3	3	n02139199_10398	4	4	24	185.623734
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n03716966_28524	9	9	n02128385_20264	3	3	83	193.672889
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n03716966_28524	9	9	n02139199_10398	4	4	84	200.903829
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n02128385_20264	3	3	n01443537_22563	1	1	21	209.404222
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n01443537_22563	1	1	n04252077_10859	10	10	10	225.741982
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n02690373_7713	6	6	n01443537_22563	1	1	51	256.770066
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n03716966_28524	9	9	n02690373_7713	6	6	86	265.029549
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02190790_15121	5	5	n01443537_22563	1	1	41	273.089425
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
