onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n02882301_14188	7	7	n01443537_22563	1	1	61	33.740650
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02882301_14188	7	7	n02190790_15121	5	5	65	42.207188
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n02690373_7713	6	6	n04252077_10859	10	10	60	50.473749
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n01621127_19020	2	2	n02882301_14188	7	7	17	57.738210
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02882301_14188	7	7	n04252077_10859	10	10	70	66.039778
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02690373_7713	6	6	n02190790_15121	5	5	55	73.791302
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	81.890990
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n04252077_10859	10	10	n02128385_20264	3	3	93	98.154684
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n03710193_22225	8	8	n02139199_10398	4	4	74	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n04252077_10859	10	10	n01443537_22563	1	1	91	116.018251
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n02190790_15121	5	5	n03710193_22225	8	8	48	122.310222
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n02882301_14188	7	7	n02128385_20264	3	3	63	138.254064
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	146.369977
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	154.004070
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n01621127_19020	2	2	n02690373_7713	6	6	16	162.069024
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	170.117888
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	178.400061
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n01443537_22563	1	1	n02139199_10398	4	4	4	186.232342
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n03716966_28524	9	9	n03710193_22225	8	8	88	194.222607
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n02128385_20264	3	3	n03710193_22225	8	8	28	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n02190790_15121	5	5	n01621127_19020	2	2	42	220.598240
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n03716966_28524	9	9	n01621127_19020	2	2	82	225.628480
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n03716966_28524	9	9	n02690373_7713	6	6	86	234.214930
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	251.330487
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n01621127_19020	2	2	n02139199_10398	4	4	14	265.730179
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02139199_10398	4	4	n02128385_20264	3	3	33	273.679346
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
