onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n02882301_14188	7	7	n02690373_7713	6	6	66	34.589751
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	41.372443
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02139199_10398	4	4	n03716966_28524	9	9	39	48.841593
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n01621127_19020	2	2	n02882301_14188	7	7	17	57.741508
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	66.221905
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02139199_10398	4	4	n02128385_20264	3	3	33	73.804902
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02690373_7713	6	6	n01443537_22563	1	1	51	98.220619
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01443537_22563	1	1	n01621127_19020	2	2	2	106.306460
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	114.302417
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n04252077_10859	10	10	n02882301_14188	7	7	97	122.236380
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n03716966_28524	9	9	n02190790_15121	5	5	85	130.269590
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n02690373_7713	6	6	n03710193_22225	8	8	58	138.283340
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n01621127_19020	2	2	n03716966_28524	9	9	19	146.133903
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	154.220427
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n02190790_15121	5	5	n03710193_22225	8	8	48	169.552273
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02882301_14188	7	7	n03710193_22225	8	8	68	186.085862
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n02128385_20264	3	3	n01621127_19020	2	2	22	194.114844
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n03716966_28524	9	9	n02882301_14188	7	7	87	201.604364
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n04252077_10859	10	10	n01443537_22563	1	1	91	209.547416
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	217.464224
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n03716966_28524	9	9	n04252077_10859	10	10	90	234.195662
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	250.447306
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n04252077_10859	10	10	n02690373_7713	6	6	96	259.595071
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02882301_14188	7	7	n02190790_15121	5	5	65	266.161595
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n01443537_22563	1	1	n03710193_22225	8	8	8	274.226603
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
