onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n03710193_22225	8	8	n03716966_28524	9	9	79	34.186061
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n01443537_22563	1	1	n03710193_22225	8	8	8	41.633043
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n03710193_22225	8	8	n04252077_10859	10	10	80	49.336116
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n02882301_14188	7	7	37	57.602263
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n04252077_10859	10	10	n02690373_7713	6	6	96	73.383396
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n03716966_28524	9	9	n01621127_19020	2	2	82	82.166433
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01621127_19020	2	2	n02139199_10398	4	4	14	90.114517
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02690373_7713	6	6	n02882301_14188	7	7	57	98.248998
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	1	n02882301_14188	7	7	n03710193_22225	8	8	68	106.131328
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n04252077_10859	10	10	n03716966_28524	9	9	99	113.931447
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02139199_10398	4	4	n02128385_20264	3	3	33	122.064458
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02690373_7713	6	6	n01443537_22563	1	1	51	129.530880
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n04252077_10859	10	10	n02128385_20264	3	3	93	138.094838
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n01621127_19020	2	2	n01443537_22563	1	1	11	162.148073
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n03710193_22225	8	8	n01621127_19020	2	2	72	169.588771
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n02190790_15121	5	5	n02882301_14188	7	7	47	178.193448
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	186.110946
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n02190790_15121	5	5	n02690373_7713	6	6	46	194.160855
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	202.063156
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n04252077_10859	10	10	n02190790_15121	5	5	95	210.195778
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	217.546485
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n02882301_14188	7	7	n04252077_10859	10	10	70	250.159447
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	256.823635
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n01443537_22563	1	1	n02139199_10398	4	4	4	265.662363
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02128385_20264	3	3	n03710193_22225	8	8	28	274.227171
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
