onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n01443537_22563	1	1	n02190790_15121	5	5	5	33.520479
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n03716966_28524	9	9	n02690373_7713	6	6	86	41.458576
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02139199_10398	4	4	n03710193_22225	8	8	38	50.167687
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	57.576994
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n01443537_22563	1	1	n04252077_10859	10	10	10	66.130189
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n03716966_28524	9	9	n01621127_19020	2	2	82	73.568234
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n04252077_10859	10	10	n01621127_19020	2	2	92	82.174529
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01621127_19020	2	2	n02190790_15121	5	5	15	89.698459
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	98.072445
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	105.959267
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	114.230850
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n01443537_22563	1	1	n02882301_14188	7	7	7	122.272174
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	130.128049
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	138.166768
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n01443537_22563	1	1	n03710193_22225	8	8	8	146.175093
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02190790_15121	5	5	n04252077_10859	10	10	50	154.180176
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n03710193_22225	8	8	n02690373_7713	6	6	76	162.203876
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02128385_20264	3	3	n01621127_19020	2	2	22	169.526860
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n03710193_22225	8	8	n04252077_10859	10	10	80	177.716467
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	185.506586
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n01443537_22563	1	1	n02128385_20264	3	3	3	194.063412
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	202.255570
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02882301_14188	7	7	n01621127_19020	2	2	62	209.375181
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n04252077_10859	10	10	n03716966_28524	9	9	99	217.398668
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n04252077_10859	10	10	n02690373_7713	6	6	96	226.138204
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02190790_15121	5	5	n02882301_14188	7	7	47	234.213014
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n01443537_22563	1	1	n02690373_7713	6	6	6	241.451018
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n02882301_14188	7	7	n04252077_10859	10	10	70	257.498114
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02690373_7713	6	6	n02128385_20264	3	3	53	266.254076
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
