onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03038480_279	55	436	0.000000
40	8	1	n02084071_14426	22	169	0.000000
48	8	1	n04090263_24512	109	868	0.000000
56	8	1	n02481823_12066	37	289	0.000000
64	8	1	n01772222_12605	9	70	0.000000
72	8	1	n02943871_8123	52	415	0.000000
80	8	1	n01833805_13268	12	93	0.000000
88	8	1	n04086273_37855	108	863	0.000000
96	8	1	n01877134_11102	14	107	0.000000
104	8	2	n01877134_11102	14	107	106.035580
112	8	1	n03543603_10424	80	633	0.000000
120	8	1	n01518878_14910	1	4	0.000000
128	8	1	n03649909_10010	89	705	0.000000
136	8	1	n03467796_6847	73	582	0.000000
144	8	1	n03425413_13788	70	553	0.000000
152	8	1	n02800213_4703	44	351	0.000000
160	8	1	n03496296_10113	77	609	0.000000
168	8	2	n03496296_10113	77	609	0.000000
176	8	1	n02802215_21594	45	356	176.064038
184	8	1	n02374451_14233	30	235	0.000000
192	8	1	n03886762_11269	100	794	0.000000
200	8	1	n03261776_25824	63	500	0.000000
208	8	1	n13111881_11914	150	1194	0.000000
216	8	1	n04442312_19042	134	1070	0.000000
224	8	1	n02799175_9738	43	344	0.000000
232	8	1	n03793489_8932	97	776	0.000000
240	8	2	n03793489_8932	97	776	0.000000
248	8	1	n04009552_5313	105	838	0.000000
256	8	1	n01726692_9090	6	48	0.000000
264	8	1	n07756951_14073	145	1154	0.000000
272	8	1	n01704323_9812	5	40	0.000000
280	8	1	n04284002_15184	123	980	0.000000
288	8	2	n04284002_15184	123	980	289.032018
296	8	1	n04419073_17022	133	1061	0.000000
304	8	1	n12596148_3502	149	1185	0.000000
312	8	1	n03665924_49231	90	717	0.000000
320	8	1	n02814860_35555	47	374	0.000000
328	8	1	n02841315_14915	48	379	0.000000
336	8	1	n03950228_18190	103	818	0.000000
344	8	1	n02998003_6262	54	430	0.000000
352	8	1	n03924679_2394	102	811	0.000000
360	8	1	n02391049_4569	31	245	0.000000
368	8	2	n02391049_4569	31	245	369.322541
376	8	1	n03085013_24313	58	463	0.000000
384	8	1	n02054036_7221	19	151	0.000000
392	8	1	n04587559_13336	140	1117	0.000000
400	8	1	n03815615_12836	98	777	0.000000
408	8	1	n03187595_5735	60	475	0.000000
416	8	1	n03544143_7095	81	647	0.000000
424	8	1	n03607659_1318	83	657	0.000000
432	8	1	n04477387_7585	136	1086	0.000000
440	8	1	n04482393_24979	137	1094	0.000000
448	8	1	n03085219_3190	59	465	0.000000
456	8	1	n04044716_10424	106	841	0.000000
464	8	1	n02503517_5673	38	301	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
