onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	33.800171
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n01621127_19020	2	2	n02139199_10398	4	4	14	41.715678
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n03716966_28524	9	9	n04252077_10859	10	10	90	48.749554
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	2	n02690373_7713	6	6	n03710193_22225	8	8	58	57.033407
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	65.765804
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n01621127_19020	2	2	n03716966_28524	9	9	19	73.798819
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n01443537_22563	1	1	n01621127_19020	2	2	2	82.463774
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n01443537_22563	1	1	n04252077_10859	10	10	10	89.398500
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n01621127_19020	2	2	n02690373_7713	6	6	16	97.549111
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n04252077_10859	10	10	n03710193_22225	8	8	98	105.364835
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02882301_14188	7	7	n01621127_19020	2	2	62	113.747924
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	129.514474
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	137.747460
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02190790_15121	5	5	n03710193_22225	8	8	48	145.680851
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n01443537_22563	1	1	n01443537_22563	1	1	1	0.000000
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	161.762386
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n02128385_20264	3	3	n03716966_28524	9	9	29	177.464223
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	184.861954
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n02690373_7713	6	6	n04252077_10859	10	10	60	193.077552
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n04252077_10859	10	10	n02139199_10398	4	4	94	217.728779
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	225.645757
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n02690373_7713	6	6	n02128385_20264	3	3	53	241.544036
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n02128385_20264	3	3	n01443537_22563	1	1	21	249.845272
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n02128385_20264	3	3	n02882301_14188	7	7	27	257.810352
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02690373_7713	6	6	n02190790_15121	5	5	55	265.078421
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n01621127_19020	2	2	n02190790_15121	5	5	15	272.712088
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
