onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n04398044_31041	128	1023	0.000000
40	8	1	n04255586_1521	120	953	0.000000
48	8	2	n04255586_1521	120	953	50.037424
56	8	1	n02472293_46249	35	279	0.000000
64	8	1	n04009552_10330	105	833	0.000000
72	8	1	n04090263_6394	109	871	0.000000
80	8	1	n12582231_20158	148	1178	0.000000
88	8	1	n03886762_12568	100	795	0.000000
96	8	1	n02843158_4722	49	386	0.000000
104	8	1	n02808440_5873	46	368	0.000000
112	8	1	n04376876_11868	127	1011	0.000000
120	8	2	n04376876_11868	127	1011	121.036189
128	8	1	n02432983_9121	32	256	0.000000
136	8	1	n04482393_19492	137	1093	0.000000
144	8	1	n01770393_18012	8	60	0.000000
152	8	1	n02346627_17176	29	228	0.000000
160	8	1	n03472535_283	74	589	0.000000
168	8	1	n02841315_35046	48	384	0.000000
176	8	1	n03837869_6421	99	789	0.000000
184	8	1	n03397947_9823	68	544	0.000000
192	8	1	n01518878_12028	1	2	0.000000
200	8	1	n02943871_8123	52	415	0.000000
208	8	1	n04612026_3878	142	1131	0.000000
216	8	1	n07734744_8048	144	1151	0.000000
224	8	1	n03602883_10003	82	649	0.000000
232	8	1	n04409806_16250	131	1043	0.000000
240	8	1	n01772222_13749	9	71	0.000000
248	8	1	n03394916_30808	67	532	0.000000
256	8	1	n02769748_37730	42	334	0.000000
264	8	1	n03063599_5015	56	448	0.000000
272	8	1	n03255030_7581	62	495	0.000000
280	8	1	n02054036_15344	19	146	0.000000
288	8	1	n04419073_11195	133	1057	0.000000
296	8	1	n02131653_5107	24	190	0.000000
304	8	1	n03646296_1689	88	698	0.000000
312	8	1	n02226429_9440	25	200	0.000000
320	8	1	n03544143_3031	81	645	0.000000
328	8	1	n04044716_10424	106	841	0.000000
336	8	2	n04044716_10424	106	841	337.031892
344	8	1	n01970164_26421	17	133	0.000000
352	8	1	n04373894_31776	126	1004	0.000000
360	8	1	n04113406_25414	110	878	0.000000
368	8	1	n04284002_20945	123	983	0.000000
376	8	1	n02766534_13147	41	322	0.000000
384	8	1	n03721384_28561	91	724	0.000000
392	8	1	n04273569_4437	122	975	0.000000
400	8	1	n03512147_47076	78	621	0.000000
408	8	2	n03512147_47076	78	621	409.030444
416	8	1	n03085013_20689	58	457	0.000000
424	8	1	n02885462_17169	51	403	0.000000
432	8	1	n03436182_11486	71	561	0.000000
440	8	2	n03436182_11486	71	561	441.029836
448	8	1	n04254680_10170	119	946	0.000000
456	8	1	n03445777_10782	72	570	0.000000
464	8	1	n04233124_15821	118	941	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
