onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02439033_9911	33	264	0.000000
40	8	1	n04180888_3216	115	916	0.000000
48	8	1	n02998003_5381	54	429	0.000000
56	8	1	n03397947_1926	68	538	0.000000
64	8	1	n02814860_30610	47	372	0.000000
72	8	1	n04284002_15184	123	980	0.000000
80	8	2	n04284002_15184	123	980	81.033836
88	8	1	n07734017_4118	143	1141	0.000000
96	8	1	n02374451_15307	30	236	0.000000
104	8	1	n01877134_11991	14	111	0.000000
112	8	1	n04419073_21368	133	1062	0.000000
120	8	1	n04401680_26778	129	1029	0.000000
128	8	1	n02054036_12238	19	145	0.000000
136	8	1	n03607659_3955	83	659	0.000000
144	8	1	n03543603_10424	80	633	0.000000
152	8	1	n02503517_12142	38	298	0.000000
160	8	1	n02882647_7150	50	400	0.000000
168	8	1	n04154565_13637	113	899	0.000000
176	8	1	n04320973_7391	125	999	0.000000
184	8	1	n11978233_26590	147	1173	0.000000
192	8	1	n04233124_18339	118	943	0.000000
200	8	1	n03085013_24642	58	464	0.000000
208	8	1	n03982430_6951	104	831	0.000000
216	8	1	n02808440_38805	46	365	0.000000
224	8	1	n02432983_16049	32	250	0.000000
232	8	2	n02432983_16049	32	250	233.042721
240	8	1	n02233338_17205	26	203	0.000000
248	8	1	n04255586_4487	120	956	0.000000
256	8	1	n03837869_4261	99	786	0.000000
264	8	1	n04272054_29465	121	963	0.000000
272	8	1	n02005790_11821	18	139	0.000000
280	8	1	n03436182_1660	71	564	0.000000
288	8	1	n04070727_23827	107	854	0.000000
296	8	1	n04612026_6008	142	1133	0.000000
304	8	1	n03793489_11217	97	770	0.000000
312	8	1	n01726692_30357	6	43	0.000000
320	8	1	n03649909_11709	89	706	0.000000
328	8	2	n03649909_11709	89	706	329.201493
336	8	1	n04123740_14377	111	884	0.000000
344	8	1	n03425413_18382	70	555	0.000000
352	8	1	n03544143_11110	81	641	0.000000
360	8	1	n03665924_52000	90	718	0.000000
368	8	2	n03665924_52000	90	718	369.035865
376	8	1	n02843158_5377	49	387	0.000000
384	8	1	n03483823_7612	75	598	0.000000
392	8	2	n03483823_7612	75	598	393.034512
400	8	1	n01855672_14080	13	99	0.000000
408	8	1	n03345487_7233	65	519	0.000000
416	8	1	n02084071_28249	22	174	0.000000
424	8	1	n03445777_10587	72	569	0.000000
432	8	1	n03721384_3497	91	725	0.000000
440	8	1	n02226429_13460	25	195	0.000000
448	8	1	n12582231_39329	148	1183	0.000000
456	8	1	n02480855_14628	36	283	0.000000
464	8	1	n04412416_7597	132	1055	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
