onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n04254680_2701	119	950	0.000000
40	8	1	n04168199_10150	114	905	0.000000
48	8	1	n03642806_27943	87	695	0.000000
56	8	2	n03642806_27943	87	695	57.031415
64	8	1	n03924679_9951	102	816	0.000000
72	8	2	n03924679_9951	102	816	0.000000
80	8	1	n04197391_4733	116	926	0.000000
88	8	1	n03436182_12210	71	562	0.000000
96	8	1	n04477387_3641	136	1083	0.000000
104	8	1	n02808440_33372	46	364	0.000000
112	8	1	n04086273_12913	108	858	0.000000
120	8	1	n01664990_10648	4	25	0.000000
128	8	1	n02346627_13993	29	227	0.000000
136	8	1	n04146614_4965	112	893	0.000000
144	8	1	n04320973_21297	125	997	0.000000
152	8	1	n04009552_12894	105	834	0.000000
160	8	1	n03815615_7628	98	783	0.000000
168	8	1	n03445777_5992	72	572	0.000000
176	8	1	n02692877_31838	40	319	0.000000
184	8	1	n02766534_64673	41	328	0.000000
192	8	1	n01704323_8008	5	37	0.000000
200	8	1	n01645776_9743	3	24	0.000000
208	8	1	n01772222_10420	9	65	0.000000
216	8	1	n01855672_14080	13	99	0.000000
224	8	1	n03085219_5196	59	468	0.000000
232	8	1	n03623556_16837	86	682	0.000000
240	8	1	n12582231_24598	148	1180	0.000000
248	8	1	n07758680_19085	146	1167	0.000000
256	8	1	n04409806_14144	131	1042	0.000000
264	8	1	n03665924_26158	90	714	0.000000
272	8	1	n03345487_11865	65	513	0.000000
280	8	1	n03607659_6257	83	661	0.000000
288	8	1	n03609235_1655	84	666	0.000000
296	8	1	n04591713_7167	141	1128	0.000000
304	8	1	n02943871_9326	52	416	0.000000
312	8	2	n02943871_9326	52	416	313.026294
320	8	1	n03261776_29363	63	502	0.000000
328	8	1	n03209910_13490	61	481	0.000000
336	8	1	n02317335_24617	28	222	0.000000
344	8	1	n02233338_1068	26	201	0.000000
352	8	1	n02885462_13911	51	402	0.000000
360	8	1	n03746005_9272	93	744	0.000000
368	8	2	n03746005_9272	93	744	0.000000
376	8	1	n04419073_11195	133	1057	0.000000
384	8	1	n02508213_11465	39	306	0.000000
392	8	1	n01963571_7996	16	128	0.000000
400	8	1	n02882647_7150	50	400	0.000000
408	8	2	n02882647_7150	50	400	409.024564
416	8	1	n03483823_8564	75	600	0.000000
424	8	1	n02439033_4722	33	261	0.000000
432	8	1	n03187595_17111	60	473	0.000000
440	8	1	n02374451_15307	30	236	0.000000
448	8	1	n03085013_20689	58	457	0.000000
456	8	1	n03255030_671	62	494	0.000000
464	8	1	n02391049_2286	31	242	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
