onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02481823_20882	37	293	0.000000
40	8	1	n03335030_21952	64	508	0.000000
48	8	1	n02391049_8178	31	248	0.000000
56	8	2	n02391049_8178	31	248	57.026706
64	8	1	n02843158_5600	49	388	0.000000
72	8	1	n02236241_7166	27	215	0.000000
80	8	1	n04113406_19025	110	875	0.000000
88	8	1	n03209910_8951	61	488	0.000000
96	8	1	n03646296_5631	88	701	0.000000
104	8	1	n02882647_23990	50	398	0.000000
112	8	1	n03642806_18985	87	692	0.000000
120	8	1	n02233338_214	26	205	0.000000
128	8	1	n02799175_14140	43	339	0.000000
136	8	1	n04313503_25193	124	992	0.000000
144	8	1	n03760671_6434	94	749	0.000000
152	8	1	n02054036_17099	19	147	0.000000
160	8	2	n02054036_17099	19	147	161.274295
168	8	1	n03924679_11429	102	809	0.000000
176	8	2	n03924679_11429	102	809	177.024140
184	8	1	n02800213_14662	44	346	0.000000
192	8	1	n04409515_22109	130	1035	0.000000
200	8	1	n01944390_20981	15	119	0.000000
208	8	1	n03467796_8303	73	583	0.000000
216	8	2	n03467796_8303	73	583	217.023384
224	8	1	n01518878_7579	1	7	0.000000
232	8	1	n04320973_15299	125	996	0.000000
240	8	1	n02480855_9990	36	288	0.000000
248	8	1	n04197391_6992	116	927	0.000000
256	8	1	n03602883_10003	82	649	0.000000
264	8	1	n03436182_12885	71	563	0.000000
272	8	1	n02090827_9359	23	184	0.000000
280	8	2	n02090827_9359	23	184	281.052403
288	8	1	n04591713_6759	141	1127	0.000000
296	8	1	n04373894_16025	126	1001	0.000000
304	8	1	n04482393_26587	137	1095	0.000000
312	8	1	n03345487_22197	65	515	0.000000
320	8	1	n01639765_52902	2	16	0.000000
328	8	1	n04412416_17390	132	1053	0.000000
336	8	1	n04168199_10897	114	908	0.000000
344	8	1	n01664990_19923	4	30	0.000000
352	8	1	n02005790_5354	18	142	0.000000
360	8	1	n03612010_871	85	679	0.000000
368	8	1	n03483823_3411	75	594	0.000000
376	8	1	n02131653_3900	24	189	0.000000
384	8	1	n03790512_35174	95	758	0.000000
392	8	1	n02508213_13464	39	308	0.000000
400	8	1	n01855672_14199	13	100	0.000000
408	8	1	n01772222_13749	9	71	0.000000
416	8	1	n03359137_21741	66	523	0.000000
424	8	1	n02055803_5499	20	154	0.000000
432	8	1	n03079230_13074	57	449	0.000000
440	8	1	n04273569_4437	122	975	0.000000
448	8	1	n01784675_15784	10	76	0.000000
456	8	1	n01833805_11890	12	89	0.000000
464	8	1	n04233124_13344	118	938	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
