onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	34.186911
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02882301_14188	7	7	n04252077_10859	10	10	70	41.577799
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02190790_15121	5	5	n01443537_22563	1	1	41	50.262486
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n02190790_15121	5	5	35	58.248079
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	73.464120
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n02139199_10398	4	4	n01443537_22563	1	1	31	81.834184
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n02690373_7713	6	6	n03716966_28524	9	9	59	97.780423
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01621127_19020	2	2	n01443537_22563	1	1	11	114.365936
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02139199_10398	4	4	n02690373_7713	6	6	36	122.332608
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	130.115421
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n01621127_19020	2	2	n02128385_20264	3	3	13	137.781695
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02128385_20264	3	3	n03716966_28524	9	9	29	145.710196
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n04252077_10859	10	10	n02190790_15121	5	5	95	154.232590
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n01621127_19020	2	2	n02690373_7713	6	6	16	162.378899
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n03710193_22225	8	8	n02128385_20264	3	3	73	170.363772
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n01621127_19020	2	2	n03710193_22225	8	8	18	178.045779
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02690373_7713	6	6	n02128385_20264	3	3	53	185.969174
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02882301_14188	7	7	n03716966_28524	9	9	69	194.095543
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n03716966_28524	9	9	n03710193_22225	8	8	88	202.239703
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	209.694242
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	217.827084
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n03710193_22225	8	8	n02139199_10398	4	4	74	233.543281
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n03710193_22225	8	8	n02190790_15121	5	5	75	241.924589
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n03716966_28524	9	9	n02190790_15121	5	5	85	250.159084
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	258.225312
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n01443537_22563	1	1	n04252077_10859	10	10	10	266.190911
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
