onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02128385_20264	3	3	n02690373_7713	6	6	26	34.364471
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	41.564729
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n03710193_22225	8	8	n01443537_22563	1	1	71	49.728695
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02190790_15121	5	5	n03710193_22225	8	8	48	57.897844
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	65.680244
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n04252077_10859	10	10	n02690373_7713	6	6	96	73.795942
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n01621127_19020	2	2	n01443537_22563	1	1	11	82.429146
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n01621127_19020	2	2	n03716966_28524	9	9	19	88.996431
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02128385_20264	3	3	n02139199_10398	4	4	24	96.878782
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n02190790_15121	5	5	n01621127_19020	2	2	42	105.144381
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02882301_14188	7	7	n03716966_28524	9	9	69	112.810840
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n03716966_28524	9	9	n04252077_10859	10	10	90	121.579216
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n03716966_28524	9	9	n03710193_22225	8	8	88	129.610271
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n02690373_7713	6	6	n02882301_14188	7	7	57	137.875817
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02882301_14188	7	7	n02128385_20264	3	3	63	145.435074
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n02139199_10398	4	4	n02190790_15121	5	5	35	154.158484
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02139199_10398	4	4	n02690373_7713	6	6	36	161.774537
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	169.457656
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n03716966_28524	9	9	n02190790_15121	5	5	85	177.387996
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02690373_7713	6	6	n01443537_22563	1	1	51	186.405115
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n01621127_19020	2	2	n02139199_10398	4	4	14	193.021550
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n02690373_7713	6	6	n03716966_28524	9	9	59	201.873096
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02128385_20264	3	3	n01621127_19020	2	2	22	217.688522
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	233.521101
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	241.599446
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n04252077_10859	10	10	n02139199_10398	4	4	94	249.769498
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n02190790_15121	5	5	n02690373_7713	6	6	46	257.436678
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n02128385_20264	3	3	n03710193_22225	8	8	28	273.151303
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
