onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02882301_14188	7	7	n02190790_15121	5	5	65	34.466051
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n04252077_10859	10	10	n02139199_10398	4	4	94	42.315448
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n01443537_22563	1	1	n01443537_22563	1	1	1	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02139199_10398	4	4	n03710193_22225	8	8	38	74.514805
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02139199_10398	4	4	n02128385_20264	3	3	33	82.346335
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n03716966_28524	9	9	n01443537_22563	1	1	81	90.514688
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n02128385_20264	3	3	n03716966_28524	9	9	29	98.497667
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n02690373_7713	6	6	n03710193_22225	8	8	58	106.262821
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01621127_19020	2	2	n03716966_28524	9	9	19	114.546286
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	122.547147
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n02882301_14188	7	7	n02690373_7713	6	6	66	138.463937
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n02190790_15121	5	5	n03710193_22225	8	8	48	146.530648
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02690373_7713	6	6	n02190790_15121	5	5	55	154.580236
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02882301_14188	7	7	n03716966_28524	9	9	69	162.529924
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02190790_15121	5	5	n01443537_22563	1	1	41	170.462997
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n02690373_7713	6	6	n02139199_10398	4	4	54	178.594687
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	2	n02690373_7713	6	6	n02128385_20264	3	3	53	186.461071
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	194.395465
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n04252077_10859	10	10	n03716966_28524	9	9	99	202.563027
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n04252077_10859	10	10	n02190790_15121	5	5	95	210.578737
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n02882301_14188	7	7	n02128385_20264	3	3	63	218.395136
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n02128385_20264	3	3	n01621127_19020	2	2	22	226.426942
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n01621127_19020	2	2	n03710193_22225	8	8	18	234.495054
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n01443537_22563	1	1	n02139199_10398	4	4	4	242.414983
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n03716966_28524	9	9	n03710193_22225	8	8	88	250.261487
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n01621127_19020	2	2	n02882301_14188	7	7	17	258.509621
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	266.492895
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n01621127_19020	2	2	n02139199_10398	4	4	14	274.494324
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
