onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02814860_30610	47	372	0.000000
40	8	1	n01944390_20981	15	119	0.000000
48	8	1	n03261776_13358	63	497	0.000000
56	8	1	n03924679_11429	102	809	0.000000
64	8	1	n04497801_6187	138	1101	0.000000
72	8	1	n04273569_13211	122	970	0.000000
80	8	1	n03886762_12568	100	795	0.000000
88	8	1	n03609235_3138	84	667	0.000000
96	8	2	n03609235_3138	84	667	97.044917
104	8	1	n03815615_29630	98	781	0.000000
112	8	1	n03665924_17703	90	713	0.000000
120	8	1	n03063599_2682	56	441	0.000000
128	8	1	n04398044_31041	128	1023	0.000000
136	8	1	n03743279_15645	92	732	0.000000
144	8	1	n03746005_4198	93	738	0.000000
152	8	1	n02481823_20882	37	293	0.000000
160	8	1	n02808440_33372	46	364	0.000000
168	8	1	n01833805_12045	12	90	0.000000
176	8	1	n02445715_17475	34	269	0.000000
184	8	1	n01877134_11538	14	109	0.000000
192	8	1	n03483823_6872	75	597	0.000000
200	8	2	n03483823_6872	75	597	201.041094
208	8	1	n02432983_16049	32	250	0.000000
216	8	1	n03790512_23966	95	757	0.000000
224	8	1	n03494278_35790	76	605	0.000000
232	8	1	n04419073_14805	133	1060	0.000000
240	8	1	n12582231_27245	148	1181	0.000000
248	8	1	n02508213_13464	39	308	0.000000
256	8	1	n03397947_9823	68	544	0.000000
264	8	1	n03255030_7581	62	495	0.000000
272	8	1	n04154565_20567	113	903	0.000000
280	8	1	n02068974_4003	21	165	0.000000
288	8	1	n04412416_12151	132	1051	0.000000
296	8	2	n04412416_12151	132	1051	297.034167
304	8	1	n03793489_8932	97	776	0.000000
312	8	1	n01787835_10392	11	82	0.000000
320	8	1	n03649909_19563	89	709	0.000000
328	8	1	n02800213_4703	44	351	0.000000
336	8	1	n02843158_9764	49	392	0.000000
344	8	1	n03467796_6847	73	582	0.000000
352	8	1	n03187595_6454	60	476	0.000000
360	8	1	n03544143_8694	81	648	0.000000
368	8	1	n04197391_8396	116	928	0.000000
376	8	1	n04587559_12714	140	1116	0.000000
384	8	1	n03918737_19975	101	804	0.000000
392	8	1	n02841315_35046	48	384	0.000000
400	8	2	n02841315_35046	48	384	401.048000
408	8	1	n04254680_2701	119	950	0.000000
416	8	1	n02885462_13911	51	402	0.000000
424	8	1	n04555897_23902	139	1107	0.000000
432	8	2	n04555897_23902	139	1107	433.043157
440	8	1	n04009552_17201	105	836	0.000000
448	8	1	n02799175_13505	43	338	0.000000
456	8	1	n03400231_2908	69	549	0.000000
464	8	1	n03079230_16134	57	450	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
