onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03436182_9434	71	568	0.000000
40	8	1	n04412416_6897	132	1054	0.000000
48	8	1	n02432983_23132	32	253	0.000000
56	8	1	n04090263_10441	109	865	0.000000
64	8	1	n11978233_25018	147	1172	0.000000
72	8	1	n03187595_91	60	479	0.000000
80	8	1	n04373894_22727	126	1002	0.000000
88	8	1	n03837869_5198	99	787	0.000000
96	8	1	n03607659_3955	83	659	0.000000
104	8	1	n01704323_5092	5	36	0.000000
112	8	1	n12596148_6386	149	1189	0.000000
120	8	1	n04284002_15310	123	981	0.000000
128	8	2	n04284002_15310	123	981	129.031727
136	8	1	n02841315_12821	48	378	0.000000
144	8	1	n02800213_21205	44	349	0.000000
152	8	1	n03261776_13358	63	497	0.000000
160	8	1	n02391049_10452	31	241	0.000000
168	8	1	n04086273_28013	108	861	0.000000
176	8	1	n03063599_3234	56	442	0.000000
184	8	1	n01787835_11338	11	83	0.000000
192	8	1	n01855672_15900	13	104	0.000000
200	8	1	n03483823_7612	75	598	0.000000
208	8	1	n02885462_17169	51	403	0.000000
216	8	1	n01639765_40261	2	12	0.000000
224	8	1	n02882647_169	50	394	0.000000
232	8	2	n02882647_169	50	394	233.029651
240	8	1	n04225987_12703	117	929	0.000000
248	8	1	n04320973_9400	125	1000	0.000000
256	8	1	n03400231_5694	69	551	0.000000
264	8	1	n04123740_10780	111	881	0.000000
272	8	1	n02814860_39856	47	376	0.000000
280	8	1	n04272054_48893	121	965	0.000000
288	8	1	n03982430_6951	104	831	0.000000
296	8	1	n07734744_8048	144	1151	0.000000
304	8	1	n03602883_15696	82	653	0.000000
312	8	2	n03602883_15696	82	653	0.000000
320	8	1	n02508213_3777	39	310	0.000000
328	8	1	n04612026_5059	142	1132	0.000000
336	8	1	n03425413_18382	70	555	0.000000
344	8	1	n03543603_4306	80	635	0.000000
352	8	1	n01645776_8522	3	19	0.000000
360	8	2	n01645776_8522	3	19	0.000000
368	8	1	n04254680_1247	119	948	0.000000
376	8	1	n04591713_3315	141	1123	0.000000
384	8	1	n02439033_9911	33	264	0.000000
392	8	2	n02439033_9911	33	264	0.000000
400	8	1	n02005790_9371	18	144	0.000000
408	8	1	n02090827_13480	23	179	0.000000
416	8	1	n03721384_36929	91	726	0.000000
424	8	1	n02445715_12246	34	266	0.000000
432	8	1	n03345487_4927	65	517	0.000000
440	8	1	n02084071_21054	22	171	0.000000
448	8	1	n04398044_18539	128	1022	0.000000
456	8	1	n01963571_19866	16	125	0.000000
464	8	1	n03924679_3671	102	812	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
