onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n04398044_31041	128	1023	0.000000
40	8	1	n03063599_4061	56	444	0.000000
48	8	1	n03543603_8721	80	639	0.000000
56	8	1	n03085013_23800	58	461	0.000000
64	8	1	n03886762_10969	100	793	0.000000
72	8	1	n04313503_22884	124	989	0.000000
80	8	1	n02131653_12495	24	186	0.000000
88	8	1	n04123740_7009	111	887	0.000000
96	8	1	n02885462_12304	51	401	0.000000
104	8	1	n03400231_21509	69	547	0.000000
112	8	1	n02391049_7263	31	247	0.000000
120	8	1	n03793489_11217	97	770	0.000000
128	8	2	n03793489_11217	97	770	129.031642
136	8	1	n04233124_12727	118	937	0.000000
144	8	1	n04587559_12714	140	1116	0.000000
152	8	1	n07758680_14681	146	1164	0.000000
160	8	2	n07758680_14681	146	1164	162.030490
168	8	1	n02317335_20064	28	220	0.000000
176	8	2	n02317335_20064	28	220	0.000000
184	8	1	n02974003_2406	53	418	0.000000
192	8	1	n04320973_7391	125	999	0.000000
200	8	1	n02236241_1360	27	209	0.000000
208	8	1	n02802215_6616	45	359	0.000000
216	8	1	n03261776_27103	63	501	0.000000
224	8	1	n03209910_26897	61	484	0.000000
232	8	1	n02503517_12142	38	298	0.000000
240	8	1	n02068974_2736	21	164	0.000000
248	8	1	n03085219_8998	59	472	0.000000
256	8	1	n03815615_21684	98	780	0.000000
264	8	1	n01784675_20773	10	78	0.000000
272	8	1	n04070727_23757	107	853	0.000000
280	8	1	n03483823_5222	75	595	0.000000
288	8	1	n04225987_6162	117	932	0.000000
296	8	1	n01877134_11903	14	110	0.000000
304	8	1	n02472293_13453	35	275	0.000000
312	8	1	n02346627_10311	29	225	0.000000
320	8	1	n03607659_7355	83	662	0.000000
328	8	1	n03743279_8976	92	736	0.000000
336	8	1	n03436182_7185	71	567	0.000000
344	8	2	n03436182_7185	71	567	345.026824
352	8	1	n04009552_15796	105	835	0.000000
360	8	1	n02843158_2978	49	385	0.000000
368	8	1	n02800213_11791	44	345	0.000000
376	8	1	n02005790_11191	18	138	0.000000
384	8	1	n03345487_8958	65	520	0.000000
392	8	2	n03345487_8958	65	520	393.025880
400	8	1	n02799175_15904	43	341	0.000000
408	8	1	n04555897_13510	139	1105	0.000000
416	8	1	n01944390_19503	15	115	0.000000
424	8	1	n07756951_17656	145	1158	0.000000
432	8	1	n03924679_11484	102	810	0.000000
440	8	1	n02882647_20395	50	396	0.000000
448	8	1	n03790512_23966	95	757	0.000000
456	8	1	n03335030_54164	64	512	0.000000
464	8	1	n01645776_9361	3	21	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
