onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03623556_20302	86	684	0.000000
40	8	1	n02998003_4611	54	428	0.000000
48	8	1	n01944390_18585	15	114	0.000000
56	8	1	n04123740_12463	111	882	0.000000
64	8	1	n02374451_19966	30	240	0.000000
72	8	1	n01768244_9298	7	55	0.000000
80	8	1	n02766534_34864	41	327	0.000000
88	8	1	n03790512_11206	95	753	0.000000
96	8	1	n04409806_7672	131	1046	0.000000
104	8	1	n01855672_15767	13	102	0.000000
112	8	1	n04168199_10150	114	905	0.000000
120	8	1	n03472535_10217	74	585	0.000000
128	8	2	n03472535_10217	74	585	129.039374
136	8	1	n01963571_16954	16	123	0.000000
144	8	1	n01664990_19923	4	30	0.000000
152	8	1	n04376876_13235	127	1012	0.000000
160	8	1	n02508213_16531	39	309	0.000000
168	8	1	n02802215_4806	45	358	0.000000
176	8	1	n04442312_16618	134	1069	0.000000
184	8	1	n13111881_10917	150	1193	0.000000
192	8	1	n03950228_32200	103	821	0.000000
200	8	1	n04587559_7411	140	1120	0.000000
208	8	1	n12582231_20158	148	1178	0.000000
216	8	1	n03209910_3841	61	486	0.000000
224	8	1	n04612026_770	142	1135	0.000000
232	8	1	n03760671_10975	94	745	0.000000
240	8	1	n03918737_4580	101	807	0.000000
248	8	1	n04070727_16664	107	850	0.000000
256	8	1	n03642806_27943	87	695	0.000000
264	8	2	n03642806_27943	87	695	265.031471
272	8	1	n04044716_16479	106	844	0.000000
280	8	1	n04154565_15261	113	900	0.000000
288	8	1	n03815615_17450	98	778	0.000000
296	8	1	n02084071_14426	22	169	0.000000
304	8	2	n02084071_14426	22	169	305.029615
312	8	1	n03924679_11484	102	810	0.000000
320	8	1	n04254680_10097	119	945	0.000000
328	8	2	n04254680_10097	119	945	329.029315
336	8	1	n03445777_9793	72	576	0.000000
344	8	1	n01787835_13122	11	86	0.000000
352	8	1	n01970164_28566	17	134	0.000000
360	8	1	n03394916_33757	67	533	0.000000
368	8	1	n03359137_39086	66	526	0.000000
376	8	1	n04225987_12703	117	929	0.000000
384	8	1	n04482393_13270	137	1089	0.000000
392	8	1	n02317335_17604	28	219	0.000000
400	8	1	n02885462_13911	51	402	0.000000
408	8	1	n04197391_6992	116	927	0.000000
416	8	1	n03609235_4886	84	670	0.000000
424	8	1	n04373894_16025	126	1001	0.000000
432	8	1	n02226429_14311	25	196	0.000000
440	8	1	n03837869_5857	99	788	0.000000
448	8	1	n01704323_10394	5	35	0.000000
456	8	1	n07756951_15873	145	1156	0.000000
464	8	2	n07756951_15873	145	1156	465.038158
472	6	-2	n/a	n/a	n/a	0.000000
