onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03544143_1497	81	643	0.000000
40	8	1	n04197391_18597	116	924	0.000000
48	8	1	n01855672_15900	13	104	0.000000
56	8	2	n01855672_15900	13	104	57.043204
64	8	1	n04419073_7644	133	1063	0.000000
72	8	1	n04320973_15299	125	996	0.000000
80	8	1	n04044716_7225	106	847	0.000000
88	8	1	n03467796_5051	73	580	0.000000
96	8	1	n04409515_22109	130	1035	0.000000
104	8	1	n04123740_15423	111	885	0.000000
112	8	1	n04409806_13419	131	1041	0.000000
120	8	1	n03541923_2849	79	627	0.000000
128	8	1	n01963571_5610	16	127	0.000000
136	8	1	n03721384_18162	91	722	0.000000
144	8	1	n02374451_12720	30	234	0.000000
152	8	1	n02346627_12197	29	226	0.000000
160	8	2	n02346627_12197	29	226	0.000000
168	8	1	n01877134_8213	14	112	0.000000
176	8	2	n01877134_8213	14	112	180.036464
184	8	1	n03665924_37592	90	715	0.000000
192	8	1	n03642806_22775	87	694	0.000000
200	8	1	n02055803_8152	20	158	0.000000
208	8	1	n11978233_28156	147	1174	0.000000
216	8	2	n11978233_28156	147	1174	220.033301
224	8	1	n03886762_10969	100	793	0.000000
232	8	1	n02974003_4448	53	420	0.000000
240	8	1	n03602883_22505	82	655	0.000000
248	8	1	n04442441_3265	135	1074	248.073836
256	8	1	n03255030_18182	62	491	0.000000
264	8	1	n03815615_5104	98	782	0.000000
272	8	1	n04591713_3315	141	1123	0.000000
280	8	2	n04591713_3315	141	1123	284.131456
288	8	1	n03609235_1655	84	666	0.000000
296	8	1	n01726692_8404	6	45	0.000000
304	8	1	n01518878_7579	1	7	0.000000
312	8	1	n03436182_5137	71	566	0.000000
320	8	1	n02885462_17169	51	403	0.000000
328	8	1	n02432983_24646	32	254	0.000000
336	8	1	n03038480_1066	55	433	0.000000
344	8	1	n03790512_23966	95	757	0.000000
352	8	1	n02084071_34874	22	176	0.000000
360	8	1	n04233124_13344	118	938	0.000000
368	8	1	n01664990_65	4	31	0.000000
376	8	1	n02236241_1360	27	209	0.000000
384	8	1	n03543603_8721	80	639	0.000000
392	8	1	n03982430_37727	104	829	0.000000
400	8	1	n03646296_9175	88	704	0.000000
408	8	1	n02841315_35046	48	384	0.000000
416	8	1	n04398044_35327	128	1024	0.000000
424	8	1	n03494278_30876	76	604	0.000000
432	8	1	n03261776_24181	63	499	0.000000
440	8	1	n02226429_17165	25	198	0.000000
448	8	1	n03837869_8484	99	791	0.000000
456	8	1	n04070727_9914	107	856	0.000000
464	8	1	n04225987_5124	117	931	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
