onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n12596148_6943	149	1190	0.000000
40	8	1	n04591713_6759	141	1127	0.000000
48	8	1	n04233124_14971	118	940	0.000000
56	8	1	n03743279_4728	92	733	0.000000
64	8	1	n03038480_199	55	434	0.000000
72	8	1	n02800213_8939	44	352	0.000000
80	8	1	n03924679_6907	102	814	0.000000
88	8	2	n03924679_6907	102	814	89.044299
96	8	1	n01833805_12464	12	92	0.000000
104	8	1	n03512147_23	78	618	0.000000
112	8	1	n04044716_19527	106	845	0.000000
120	8	1	n04009552_5313	105	838	0.000000
128	8	1	n02054036_15344	19	146	0.000000
136	8	1	n04070727_18299	107	851	0.000000
144	8	1	n02233338_6133	26	207	0.000000
152	8	1	n04225987_13452	117	930	0.000000
160	8	1	n03746005_2516	93	737	0.000000
168	8	1	n03609235_7270	84	671	0.000000
176	8	2	n03609235_7270	84	671	177.039113
184	8	1	n02391049_2286	31	242	0.000000
192	8	1	n02480855_13432	36	282	0.000000
200	8	1	n02503517_8447	38	303	0.000000
208	8	1	n03425413_16822	70	554	0.000000
216	8	1	n03085013_23800	58	461	0.000000
224	8	1	n11978233_20269	147	1171	0.000000
232	8	1	n03815615_19824	98	779	0.000000
240	8	1	n03612010_10712	85	673	0.000000
248	8	1	n04482393_26587	137	1095	0.000000
256	8	2	n04482393_26587	137	1095	257.034922
264	8	1	n02882647_20395	50	396	0.000000
272	8	1	n03793489_13628	97	771	0.000000
280	8	1	n02814860_39856	47	376	0.000000
288	8	1	n03472535_4645	74	591	0.000000
296	8	1	n02432983_13166	32	249	0.000000
304	8	2	n02432983_13166	32	249	305.032964
312	8	1	n02508213_3777	39	310	0.000000
320	8	1	n01639765_32862	2	10	0.000000
328	8	1	n01963571_11908	16	121	0.000000
336	8	1	n03400231_2908	69	549	0.000000
344	8	1	n07756951_13102	145	1153	0.000000
352	8	1	n04412416_10353	132	1049	0.000000
360	8	1	n02943871_3559	52	411	0.000000
368	8	1	n03760671_9669	94	752	0.000000
376	8	1	n01770393_21218	8	61	0.000000
384	8	1	n03335030_41867	64	510	0.000000
392	8	1	n02974003_1210	53	417	0.000000
400	8	1	n02084071_27182	22	173	0.000000
408	8	1	n03345487_8958	65	520	0.000000
416	8	1	n04284002_14660	123	979	0.000000
424	8	1	n04398044_31041	128	1023	0.000000
432	8	1	n04272054_53265	121	966	0.000000
440	8	1	n07734744_5653	144	1148	0.000000
448	8	2	n07734744_5653	144	1148	450.474811
456	8	1	n04180888_5987	115	919	0.000000
464	8	1	n02055803_5499	20	154	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
