onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03038480_1066	55	433	0.000000
40	8	1	n04555897_13510	139	1105	0.000000
48	8	1	n04272054_21409	121	962	0.000000
56	8	1	n02391049_10452	31	241	0.000000
64	8	1	n03760671_9669	94	752	0.000000
72	8	1	n03793489_10094	97	769	0.000000
80	8	1	n11978233_18962	147	1170	0.000000
88	8	1	n02508213_3777	39	310	0.000000
96	8	1	n03079230_26890	57	453	0.000000
104	8	1	n04255586_878	120	960	0.000000
112	8	1	n04591713_3315	141	1123	0.000000
120	8	1	n03397947_2934	68	539	0.000000
128	8	1	n03543603_2363	80	634	0.000000
136	8	2	n03543603_2363	80	634	137.045314
144	8	1	n03646296_2966	88	699	0.000000
152	8	1	n02055803_7345	20	156	0.000000
160	8	1	n03063599_4784	56	447	0.000000
168	8	1	n02054036_9789	19	152	0.000000
176	8	1	n04313503_25193	124	992	0.000000
184	8	1	n04482393_13686	137	1090	0.000000
192	8	1	n01664990_13731	4	26	0.000000
200	8	1	n01518878_5958	1	5	0.000000
208	8	1	n03886762_7939	100	799	0.000000
216	8	2	n03886762_7939	100	799	217.041694
224	8	1	n01970164_19716	17	131	0.000000
232	8	1	n04070727_23757	107	853	0.000000
240	8	1	n02481823_8477	37	296	0.000000
248	8	1	n02800213_8939	44	352	0.000000
256	8	2	n02800213_8939	44	352	257.039188
264	8	1	n03335030_26098	64	509	0.000000
272	8	1	n02766534_15976	41	324	0.000000
280	8	1	n02084071_28249	22	174	0.000000
288	8	1	n03400231_24528	69	548	0.000000
296	8	1	n01726692_8404	6	45	0.000000
304	8	1	n02346627_5663	29	231	0.000000
312	8	1	n01645776_9743	3	24	0.000000
320	8	1	n03544143_3031	81	645	0.000000
328	8	1	n03483823_5222	75	595	0.000000
336	8	2	n03483823_5222	75	595	337.035800
344	8	1	n04009552_8947	105	840	0.000000
352	8	1	n03918737_27172	101	806	0.000000
360	8	1	n01704323_5092	5	36	0.000000
368	8	1	n04320973_12980	125	994	0.000000
376	8	1	n02226429_13460	25	195	0.000000
384	8	1	n02374451_12720	30	234	0.000000
392	8	1	n03950228_16044	103	817	0.000000
400	8	1	n01639765_52902	2	16	0.000000
408	8	1	n04090263_16066	109	867	0.000000
416	8	1	n02943871_9326	52	416	0.000000
424	8	1	n04442312_10246	134	1065	0.000000
432	8	2	n04442312_10246	134	1065	433.030807
440	8	1	n04254680_3842	119	951	0.000000
448	8	1	n03837869_4261	99	786	0.000000
456	8	1	n04233124_14573	118	939	0.000000
464	8	1	n02843158_7756	49	390	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
