onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n03716966_28524	9	9	n01443537_22563	1	1	81	34.150639
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n02882301_14188	7	7	n01443537_22563	1	1	61	42.186233
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n03710193_22225	8	8	n02190790_15121	5	5	75	50.634343
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	2	n03716966_28524	9	9	n02882301_14188	7	7	87	58.102466
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02690373_7713	6	6	n02190790_15121	5	5	55	82.165005
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01443537_22563	1	1	n02690373_7713	6	6	6	90.231540
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02139199_10398	4	4	n01621127_19020	2	2	32	98.164237
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02882301_14188	7	7	n02190790_15121	5	5	65	122.165886
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	130.180506
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n04252077_10859	10	10	n03710193_22225	8	8	98	138.133804
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	146.179755
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n03716966_28524	9	9	n03710193_22225	8	8	88	153.731196
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	162.115929
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	170.197783
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n02190790_15121	5	5	n01621127_19020	2	2	42	178.260744
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02690373_7713	6	6	n02139199_10398	4	4	54	186.143554
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02139199_10398	4	4	n04252077_10859	10	10	40	194.261019
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	202.126396
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	210.160578
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	218.211255
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n03716966_28524	9	9	n01621127_19020	2	2	82	226.127583
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	2	n04252077_10859	10	10	n01443537_22563	1	1	91	234.239747
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n03710193_22225	8	8	n02128385_20264	3	3	73	258.157098
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	1	n04252077_10859	10	10	n02690373_7713	6	6	96	266.240720
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n02139199_10398	4	4	n03716966_28524	9	9	39	273.956181
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
