onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n03710193_22225	8	8	n02128385_20264	3	3	73	34.144700
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n01443537_22563	1	1	n01621127_19020	2	2	2	42.171364
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n03710193_22225	8	8	n02190790_15121	5	5	75	50.210464
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02139199_10398	4	4	n01443537_22563	1	1	31	58.143464
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n03716966_28524	9	9	n03710193_22225	8	8	88	66.159844
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n03710193_22225	8	8	n02139199_10398	4	4	74	74.159621
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	90.108831
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n03716966_28524	9	9	n02882301_14188	7	7	87	98.127697
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	106.174450
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n04252077_10859	10	10	n02190790_15121	5	5	95	114.123406
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n02882301_14188	7	7	n01621127_19020	2	2	62	122.156674
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n02882301_14188	7	7	n02139199_10398	4	4	64	130.106579
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n03716966_28524	9	9	n01621127_19020	2	2	82	138.110836
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02882301_14188	7	7	n02690373_7713	6	6	66	146.091213
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	154.141187
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	162.169780
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n02690373_7713	6	6	n01621127_19020	2	2	52	170.069562
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	1	n02190790_15121	5	5	n01621127_19020	2	2	42	177.672496
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02139199_10398	4	4	n02128385_20264	3	3	33	186.088072
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	1	n02128385_20264	3	3	n03716966_28524	9	9	29	193.719320
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n03716966_28524	9	9	n02139199_10398	4	4	84	202.152553
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02128385_20264	3	3	n01443537_22563	1	1	21	210.071565
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n04252077_10859	10	10	n01443537_22563	1	1	91	226.120788
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02139199_10398	4	4	n02139199_10398	4	4	34	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	1	n02190790_15121	5	5	n02190790_15121	5	5	45	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n01443537_22563	1	1	n02690373_7713	6	6	6	257.232188
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02690373_7713	6	6	n03716966_28524	9	9	59	266.115461
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n01443537_22563	1	1	n02190790_15121	5	5	5	274.135423
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
