onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n02882301_14188	7	7	n01621127_19020	2	2	62	32.869805
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n04252077_10859	10	10	n02139199_10398	4	4	94	41.585326
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n02128385_20264	3	3	n02190790_15121	5	5	25	48.667055
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	2	n03716966_28524	9	9	n02128385_20264	3	3	83	57.857117
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	1	n02690373_7713	6	6	n01443537_22563	1	1	51	65.583054
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n03710193_22225	8	8	n04252077_10859	10	10	80	73.637992
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n02690373_7713	6	6	n02128385_20264	3	3	53	89.568978
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n02190790_15121	5	5	n01621127_19020	2	2	42	97.736298
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01443537_22563	1	1	n02190790_15121	5	5	5	113.568285
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	2	n04252077_10859	10	10	n01621127_19020	2	2	92	120.836065
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02690373_7713	6	6	n01621127_19020	2	2	52	130.249430
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n01443537_22563	1	1	n02128385_20264	3	3	3	137.637958
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n03716966_28524	9	9	n01443537_22563	1	1	81	145.750148
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n02139199_10398	4	4	n02690373_7713	6	6	36	152.939151
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	2	n02882301_14188	7	7	n02690373_7713	6	6	66	160.767247
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	2	n03716966_28524	9	9	n04252077_10859	10	10	90	169.649351
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n02882301_14188	7	7	n03710193_22225	8	8	68	176.932495
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n02882301_14188	7	7	n04252077_10859	10	10	70	192.998426
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	2	n02190790_15121	5	5	n03716966_28524	9	9	49	200.773244
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02690373_7713	6	6	n02190790_15121	5	5	55	209.754166
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n01443537_22563	1	1	n04252077_10859	10	10	10	217.154422
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n01621127_19020	2	2	n03710193_22225	8	8	18	225.600968
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	1	n03716966_28524	9	9	n01621127_19020	2	2	82	249.616247
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	257.529905
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	1	n01443537_22563	1	1	n01621127_19020	2	2	2	273.585240
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
