onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	1	n02690373_7713	6	6	n02190790_15121	5	5	55	34.154828
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	1	n03716966_28524	9	9	n03710193_22225	8	8	88	42.155838
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	1	n03716966_28524	9	9	n02139199_10398	4	4	84	50.187702
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n03716966_28524	9	9	n01443537_22563	1	1	81	58.188732
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02882301_14188	7	7	n03716966_28524	9	9	69	66.087886
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	1	n02882301_14188	7	7	n02139199_10398	4	4	64	74.090717
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	1	n02128385_20264	3	3	n02128385_20264	3	3	23	0.000000
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	1	n02190790_15121	5	5	n03716966_28524	9	9	49	98.136004
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	1	n02690373_7713	6	6	n01443537_22563	1	1	51	106.089690
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	2	n03710193_22225	8	8	n02690373_7713	6	6	76	114.125905
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n01621127_19020	2	2	n04252077_10859	10	10	20	122.177760
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	1	n02882301_14188	7	7	n02882301_14188	7	7	67	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	2	n04252077_10859	10	10	n02128385_20264	3	3	93	138.169747
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	1	n01621127_19020	2	2	n02139199_10398	4	4	14	146.103040
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	1	n01443537_22563	1	1	n02882301_14188	7	7	7	154.134261
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	162.083934
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02190790_15121	5	5	n03710193_22225	8	8	48	170.151589
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n02190790_15121	5	5	n01621127_19020	2	2	42	178.148578
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n02190790_15121	5	5	n02139199_10398	4	4	44	186.131655
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n02139199_10398	4	4	n03710193_22225	8	8	38	194.082993
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n04252077_10859	10	10	n04252077_10859	10	10	100	0.000000
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02882301_14188	7	7	n03710193_22225	8	8	68	210.262290
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	2	n02882301_14188	7	7	n04252077_10859	10	10	70	218.063416
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	2	n03716966_28524	9	9	n02128385_20264	3	3	83	226.181868
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n02190790_15121	5	5	n04252077_10859	10	10	50	234.180276
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n04252077_10859	10	10	n02690373_7713	6	6	96	242.066848
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n02128385_20264	3	3	n01621127_19020	2	2	22	250.145822
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	266.227783
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n01621127_19020	2	2	n01443537_22563	1	1	11	274.177397
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
