onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n03623556_12791	86	681	0.000000
40	8	1	n03950228_16044	103	817	0.000000
48	8	2	n03950228_16044	103	817	49.028933
56	8	1	n02503517_8447	38	303	0.000000
64	8	1	n03886762_14788	100	796	0.000000
72	8	1	n03085013_24642	58	464	0.000000
80	8	1	n03494278_40471	76	607	0.000000
88	8	1	n07734017_8706	143	1144	0.000000
96	8	1	n03544143_11110	81	641	0.000000
104	8	1	n03649909_21526	89	710	0.000000
112	8	1	n02769748_37730	42	334	0.000000
120	8	2	n02769748_37730	42	334	121.027354
128	8	1	n02317335_21319	28	221	0.000000
136	8	1	n04398044_14381	128	1019	0.000000
144	8	1	n07756951_15064	145	1155	0.000000
152	8	1	n01970164_12603	17	129	0.000000
160	8	1	n04409806_9916	131	1048	0.000000
168	8	1	n02766534_13147	41	322	0.000000
176	8	1	n04255586_62	120	958	0.000000
184	8	1	n02814860_12908	47	369	0.000000
192	8	1	n04123740_15423	111	885	0.000000
200	8	1	n03815615_19824	98	779	0.000000
208	8	1	n03543603_5942	80	636	0.000000
216	8	1	n01877134_11991	14	111	0.000000
224	8	1	n02808440_19589	46	363	0.000000
232	8	1	n03063599_3835	56	443	0.000000
240	8	1	n03261776_40091	63	504	0.000000
248	8	1	n07734744_6229	144	1149	0.000000
256	8	1	n03982430_26431	104	827	0.000000
264	8	1	n03746005_6174	93	741	0.000000
272	8	1	n04225987_13452	117	930	0.000000
280	8	1	n01770393_29944	8	64	0.000000
288	8	1	n03394916_47877	67	536	0.000000
296	8	1	n03609235_4886	84	670	0.000000
304	8	1	n04555897_5017	139	1111	0.000000
312	8	1	n03665924_44847	90	716	0.000000
320	8	1	n03793489_5265	97	774	0.000000
328	8	1	n04497801_14007	138	1098	335.022429
336	8	2	n04497801_14007	138	1098	337.023127
344	8	1	n03607659_8657	83	664	0.000000
352	8	1	n03085219_6529	59	470	0.000000
360	8	1	n04044716_6288	106	846	0.000000
368	8	1	n03541923_3599	79	629	0.000000
376	8	1	n04612026_6008	142	1133	0.000000
384	8	1	n01704323_10031	5	33	0.000000
392	8	1	n02841315_22761	48	382	0.000000
400	8	1	n04086273_10362	108	857	0.000000
408	8	2	n04086273_10362	108	857	409.170197
416	8	1	n02974003_9408	53	424	0.000000
424	8	1	n02346627_5663	29	231	0.000000
432	8	1	n02068974_7285	21	168	0.000000
440	8	2	n02068974_7285	21	168	441.137117
448	8	1	n02226429_15538	25	197	0.000000
456	8	1	n02943871_3559	52	411	0.000000
464	8	1	n04090263_7624	109	872	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
