onset	duration	trial_type	attended_stimulus_name	attended_category_index	attended_image_index	unattended_stimulus_name	unattended_category_index	unattended_image_index	unique_image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
32	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
34	6	2	n01621127_19020	2	2	n02128385_20264	3	3	13	34.067589
40	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
42	6	2	n01621127_19020	2	2	n04252077_10859	10	10	20	47.596562
48	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
50	6	2	n04252077_10859	10	10	n02882301_14188	7	7	97	49.531034
56	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
58	6	1	n02882301_14188	7	7	n02128385_20264	3	3	63	60.049116
64	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
66	6	2	n02690373_7713	6	6	n02690373_7713	6	6	56	0.000000
72	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
74	6	2	n01443537_22563	1	1	n01443537_22563	1	1	1	78.749975
80	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
82	6	2	n04252077_10859	10	10	n02690373_7713	6	6	96	80.747420
88	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
90	6	2	n01621127_19020	2	2	n01621127_19020	2	2	12	0.000000
96	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
98	6	2	n01443537_22563	1	1	n03710193_22225	8	8	8	99.142995
104	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
106	6	2	n01621127_19020	2	2	n02190790_15121	5	5	15	0.000000
112	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
114	6	1	n01443537_22563	1	1	n01621127_19020	2	2	2	117.977583
120	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
122	6	1	n02139199_10398	4	4	n04252077_10859	10	10	40	0.000000
128	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
130	6	2	n03716966_28524	9	9	n03716966_28524	9	9	89	0.000000
136	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
138	6	1	n03710193_22225	8	8	n03710193_22225	8	8	78	0.000000
144	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
146	6	2	n02882301_14188	7	7	n01621127_19020	2	2	62	0.000000
152	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
154	6	2	n03710193_22225	8	8	n02128385_20264	3	3	73	154.642386
160	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
162	6	1	n02882301_14188	7	7	n02690373_7713	6	6	66	161.908679
168	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
170	6	1	n02882301_14188	7	7	n03716966_28524	9	9	69	169.710092
176	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
178	6	2	n01443537_22563	1	1	n02882301_14188	7	7	7	177.440406
184	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
186	6	1	n04252077_10859	10	10	n02128385_20264	3	3	93	0.000000
192	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
194	6	2	n03710193_22225	8	8	n02882301_14188	7	7	77	0.000000
200	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
202	6	1	n03710193_22225	8	8	n02139199_10398	4	4	74	207.025565
208	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
210	6	1	n02128385_20264	3	3	n02190790_15121	5	5	25	211.424084
216	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
218	6	1	n02139199_10398	4	4	n02190790_15121	5	5	35	0.000000
224	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
226	6	1	n01443537_22563	1	1	n02190790_15121	5	5	5	225.822100
232	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
234	6	1	n01443537_22563	1	1	n03716966_28524	9	9	9	0.000000
240	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
242	6	2	n03716966_28524	9	9	n03710193_22225	8	8	88	245.403660
248	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
250	6	2	n02190790_15121	5	5	n03710193_22225	8	8	48	251.652531
256	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
258	6	1	n01443537_22563	1	1	n04252077_10859	10	10	10	258.555931
264	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
266	6	2	n01621127_19020	2	2	n02690373_7713	6	6	16	271.820379
272	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
274	6	2	n04252077_10859	10	10	n03716966_28524	9	9	99	274.669104
280	2	-3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.000000
