onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n04086273_10362	108	857	0.000000
40	8	1	n02432983_31019	32	255	0.000000
48	8	1	n03924679_9022	102	815	0.000000
56	8	1	n03665924_52000	90	718	0.000000
64	8	2	n03665924_52000	90	718	65.032074
72	8	1	n01768244_11944	7	50	0.000000
80	8	1	n03982430_21511	104	826	0.000000
88	8	1	n03085219_6529	59	470	0.000000
96	8	1	n03467796_8303	73	583	0.000000
104	8	1	n02233338_6133	26	207	0.000000
112	8	1	n02317335_11408	28	217	0.000000
120	8	2	n02317335_11408	28	217	121.029336
128	8	1	n03792782_34550	96	765	0.000000
136	8	1	n01770393_21218	8	61	0.000000
144	8	1	n04168199_10897	114	908	0.000000
152	8	1	n03649909_42614	89	712	0.000000
160	8	1	n03623556_5157	86	685	0.000000
168	8	1	n02998003_7121	54	431	0.000000
176	8	1	n04373894_59446	126	1008	0.000000
184	8	2	n04373894_59446	126	1008	185.026114
192	8	1	n03496296_14333	77	613	0.000000
200	8	1	n01772222_12097	9	68	0.000000
208	8	1	n01944390_19988	15	116	0.000000
216	8	1	n03790512_35174	95	758	0.000000
224	8	1	n03261776_27103	63	501	0.000000
232	8	1	n02445715_5508	34	271	0.000000
240	8	2	n02445715_5508	34	271	0.000000
248	8	1	n02885462_9267	51	407	0.000000
256	8	1	n01787835_9197	11	88	0.000000
264	8	1	n03209910_5373	61	487	0.000000
272	8	1	n01855672_15767	13	102	0.000000
280	8	1	n02799175_16780	43	342	0.000000
288	8	1	n03436182_12885	71	563	0.000000
296	8	1	n03743279_8976	92	736	0.000000
304	8	1	n07734017_4118	143	1141	0.000000
312	8	1	n03394916_23304	67	530	0.000000
320	8	1	n04146614_4965	112	893	0.000000
328	8	1	n02439033_15634	33	259	0.000000
336	8	1	n12582231_29287	148	1182	0.000000
344	8	1	n03085013_20689	58	457	0.000000
352	8	1	n01784675_18607	10	77	0.000000
360	8	1	n04401680_26778	129	1029	0.000000
368	8	1	n02131653_13952	24	187	0.000000
376	8	1	n04225987_6877	117	935	0.000000
384	8	1	n03721384_3497	91	725	0.000000
392	8	1	n02503517_12142	38	298	0.000000
400	8	1	n04442441_7248	135	1080	0.000000
408	8	1	n04409515_6804	130	1039	0.000000
416	8	1	n13111881_11914	150	1194	0.000000
424	8	1	n03187595_9059	60	478	0.000000
432	8	2	n03187595_9059	60	478	433.029985
440	8	1	n04154565_13637	113	899	0.000000
448	8	1	n01877134_10662	14	106	0.000000
456	8	1	n12596148_6943	149	1190	0.000000
464	8	1	n03602883_15696	82	653	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
