onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02943871_9326	52	416	0.000000
40	8	1	n03790512_14883	95	756	0.000000
48	8	1	n04180888_11100	115	913	0.000000
56	8	2	n04180888_11100	115	913	57.026775
64	8	1	n04409806_9916	131	1048	0.000000
72	8	2	n04409806_9916	131	1048	73.241404
80	8	1	n01784675_15243	10	75	0.000000
88	8	1	n02472293_131	35	274	0.000000
96	8	1	n03837869_8484	99	791	0.000000
104	8	1	n03743279_7634	92	735	0.000000
112	8	1	n04254680_43	119	952	0.000000
120	8	1	n04442312_32591	134	1072	0.000000
128	8	1	n04419073_14805	133	1060	0.000000
136	8	1	n02802215_17477	45	354	0.000000
144	8	1	n03467796_5384	73	581	0.000000
152	8	1	n03063599_4061	56	444	0.000000
160	8	1	n02090827_9359	23	184	0.000000
168	8	1	n04555897_26505	139	1108	0.000000
176	8	1	n02233338_17205	26	203	0.000000
184	8	1	n03359137_31119	66	525	0.000000
192	8	1	n04398044_18539	128	1022	0.000000
200	8	1	n02885462_9275	51	408	0.000000
208	8	1	n03255030_11168	62	489	0.000000
216	8	1	n04009552_15796	105	835	0.000000
224	8	1	n03483823_15156	75	593	0.000000
232	8	1	n04086273_10362	108	857	0.000000
240	8	1	n04070727_31219	107	855	0.000000
248	8	1	n02503517_3324	38	299	0.000000
256	8	1	n02799175_11275	43	337	0.000000
264	8	1	n04442441_7248	135	1080	0.000000
272	8	1	n03187595_9059	60	478	0.000000
280	8	1	n02882647_3406	50	399	0.000000
288	8	1	n04168199_9862	114	912	0.000000
296	8	1	n01770393_28281	8	63	0.000000
304	8	1	n02131653_2806	24	188	0.000000
312	8	2	n02131653_2806	24	188	313.038312
320	8	1	n03793489_10094	97	769	0.000000
328	8	1	n03544143_7095	81	647	0.000000
336	8	1	n03623556_9879	86	688	0.000000
344	8	1	n02974003_1210	53	417	0.000000
352	8	1	n04587559_13463	140	1118	0.000000
360	8	1	n03649909_13625	89	707	0.000000
368	8	2	n03649909_13625	89	707	369.133587
376	8	1	n03665924_49231	90	717	0.000000
384	8	1	n04612026_7911	142	1136	0.000000
392	8	1	n02054036_5709	19	150	0.000000
400	8	1	n02226429_12778	25	194	0.000000
408	8	2	n02226429_12778	25	194	409.036433
416	8	1	n01855672_15900	13	104	0.000000
424	8	1	n12582231_18321	148	1177	0.000000
432	8	1	n02055803_9018	20	159	0.000000
440	8	1	n03472535_190	74	587	0.000000
448	8	1	n02480855_13432	36	282	0.000000
456	8	1	n01768244_7012	7	52	0.000000
464	8	1	n02481823_12066	37	289	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
