onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02346627_5663	29	231	0.000000
40	8	1	n04180888_1515	115	914	0.000000
48	8	1	n07756951_17047	145	1157	0.000000
56	8	2	n07756951_17047	145	1157	57.029327
64	8	1	n03982430_15760	104	825	0.000000
72	8	1	n02317335_21319	28	221	0.000000
80	8	1	n12582231_24598	148	1180	0.000000
88	8	1	n03790512_12009	95	754	0.000000
96	8	1	n02055803_6095	20	155	0.000000
104	8	1	n03642806_15854	87	690	0.000000
112	8	1	n02692877_10393	40	313	0.000000
120	8	2	n02692877_10393	40	313	121.027654
128	8	1	n03924679_9951	102	816	0.000000
136	8	1	n03496296_9005	77	616	0.000000
144	8	1	n02766534_18271	41	325	0.000000
152	8	1	n03079230_26890	57	453	0.000000
160	8	1	n04412416_14153	132	1052	0.000000
168	8	1	n03038480_3370	55	438	0.000000
176	8	1	n04376876_28833	127	1015	0.000000
184	8	1	n04612026_770	142	1135	0.000000
192	8	1	n04313503_23211	124	991	0.000000
200	8	1	n04442312_15619	134	1068	0.000000
208	8	1	n04284002_10270	123	977	0.000000
216	8	1	n02998003_3934	54	427	0.000000
224	8	1	n02885462_9267	51	407	0.000000
232	8	1	n02391049_8178	31	248	0.000000
240	8	1	n01704323_9172	5	39	0.000000
248	8	1	n01970164_19716	17	131	0.000000
256	8	1	n02841315_18830	48	381	0.000000
264	8	1	n07734744_6691	144	1150	0.000000
272	8	1	n03512147_3723	78	620	0.000000
280	8	1	n03209910_29141	61	485	0.000000
288	8	2	n03209910_29141	61	485	289.124354
296	8	1	n03187595_91	60	479	0.000000
304	8	1	n04419073_21368	133	1062	0.000000
312	8	1	n02800213_11791	44	345	0.000000
320	8	1	n01518878_14075	1	3	0.000000
328	8	1	n03743279_13788	92	731	0.000000
336	8	1	n11978233_26590	147	1173	0.000000
344	8	1	n03436182_1660	71	564	0.000000
352	8	1	n02974003_8115	53	422	0.000000
360	8	1	n04197391_15574	116	923	0.000000
368	8	1	n01833805_11890	12	89	0.000000
376	8	2	n01833805_11890	12	89	0.000000
384	8	1	n03665924_55985	90	719	0.000000
392	8	1	n02799175_7198	43	343	0.000000
400	8	1	n03261776_29363	63	502	0.000000
408	8	1	n02131653_6220	24	191	0.000000
416	8	1	n01784675_14624	10	74	0.000000
424	8	1	n03746005_7486	93	742	0.000000
432	8	1	n03837869_5198	99	787	0.000000
440	8	1	n01944390_19988	15	116	0.000000
448	8	1	n03345487_8958	65	520	0.000000
456	8	2	n03345487_8958	65	520	459.037672
464	8	1	n01768244_9298	7	55	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
