onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	n02233338_13505	26	202	0.000000
40	8	2	n02233338_13505	26	202	42.228817
48	8	1	n02998003_2616	54	426	0.000000
56	8	1	n04168199_10620	114	906	0.000000
64	8	1	n03924679_5901	102	813	0.000000
72	8	1	n04497801_19746	138	1099	0.000000
80	8	1	n04225987_6665	117	934	0.000000
88	8	1	n04154565_12763	113	898	0.000000
96	8	1	n03646296_2966	88	699	0.000000
104	8	1	n02769748_20423	42	330	0.000000
112	8	1	n04376876_28833	127	1015	0.000000
120	8	1	n04442441_1910	135	1073	0.000000
128	8	2	n04442441_1910	135	1073	0.000000
136	8	1	n02882647_23990	50	398	0.000000
144	8	1	n04555897_23902	139	1107	0.000000
152	8	2	n04555897_23902	139	1107	153.038466
160	8	1	n01855672_13449	13	98	0.000000
168	8	1	n04146614_4965	112	893	0.000000
176	8	1	n03793489_7412	97	775	0.000000
184	8	1	n02068974_2736	21	164	0.000000
192	8	1	n01772222_10420	9	65	0.000000
200	8	1	n03607659_7355	83	662	0.000000
208	8	1	n07734017_6281	143	1142	0.000000
216	8	1	n01787835_10392	11	82	0.000000
224	8	1	n04442312_32591	134	1072	0.000000
232	8	1	n07756951_17047	145	1157	0.000000
240	8	1	n04373894_26002	126	1003	0.000000
248	8	1	n12596148_6386	149	1189	0.000000
256	8	1	n04477387_4979	136	1084	0.000000
264	8	1	n04044716_10424	106	841	0.000000
272	8	1	n03261776_13358	63	497	0.000000
280	8	1	n01944390_20511	15	117	0.000000
288	8	1	n02799175_7198	43	343	0.000000
296	8	1	n04070727_23757	107	853	0.000000
304	8	1	n03543603_4306	80	635	0.000000
312	8	1	n03335030_41914	64	511	0.000000
320	8	1	n02346627_5663	29	231	0.000000
328	8	2	n02346627_5663	29	231	329.029771
336	8	1	n02226429_15538	25	197	0.000000
344	8	1	n03609235_3801	84	668	0.000000
352	8	1	n07734744_13895	144	1145	0.000000
360	8	1	n02131653_10825	24	185	0.000000
368	8	1	n02692877_11314	40	314	0.000000
376	8	1	n03483823_8150	75	599	0.000000
384	8	1	n02236241_6815	27	214	0.000000
392	8	1	n02055803_9018	20	159	0.000000
400	8	1	n03512147_33515	78	619	0.000000
408	8	1	n02885462_9267	51	407	0.000000
416	8	1	n04587559_13336	140	1117	0.000000
424	8	1	n04197391_3999	116	925	0.000000
432	8	2	n04197391_3999	116	925	433.223970
440	8	1	n02843158_6490	49	389	0.000000
448	8	1	n03187595_9059	60	478	0.000000
456	8	1	n04398044_10533	128	1017	0.000000
464	8	1	n03085013_23944	58	462	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
